Sektion;Nr;Item;Form;Annahme/Frage;Status;Kommentar
4 Atome;43b;UI-Pattern Star+Eye;Annahme;Right-aligned in Card-Toolbar, Star=Amber/--warning + Counter + Hover-Liste, Eye=Blue/--accent ohne Counter, Click-Pulse animations.md §2.15;bestaetigt;User 2026-05-06
4 Atome;43c;Filter-Conditions;Annahme;has_marker(kind, by_user, count>=N) als WidgetFilter-Condition. Smart-Summary erweitert um Beobachtet-von-dir-Widget;bestaetigt;User 2026-05-06
4 Atome;43d;Realtime-Throttle;Annahme;Star-Counter 1-2s Debounce pro Atom, sonst voll Realtime. Eye nicht broadcasted (User-privat);bestaetigt;User 2026-05-06
4 Atome;43e;Realtime-Konsistenz-Direktive (Cross-Cutting);Direktive;Realtime ist Default fuer alle user-relevanten Mutationen. Sekunden-Verzoegerung OK, kein Funktion-weiser Mix. architektur.md §5.8 + Memory.;bestaetigt;User 2026-05-06: gilt fuer ALLE Wellen
4 Atome;44;link.provider-Diskriminator;Annahme;Option A bestaetigt — links.type gedroppt clean-cut neue Spalten provider+provider_meta. 15 Provider-Werte. url=kanonische Click-Through (Permalink ODER App-Resolver). Migration WV.B.;bestaetigt;User 2026-05-06: Option A, vollstaendige Provider-Liste, SMTP als mail-generic
4 Atome;44a;mail-generic IMAP+SMTP;Annahme;User gibt IMAP+SMTP+Username+App-Password an. Verschluesselter Storage. UI weist auf Sicherheits-Heikle hin;bestaetigt;User 2026-05-06: SMTP relevant
4 Atome;44b;OAuth-Token-Storage user_oauth_tokens;Annahme;Reuse user_ai_providers-Pattern: pgp_sym_encrypt + Owner-RLS + Lazy-Refresh. widget_external_channels haelt nur Provider-Ref;bestaetigt;User 2026-05-06: heutiger Standard
4 Atome;44c;links.url als kanonische Click-Through-URL;Annahme;Public-Permalink ODER App-Resolver. B-tree-Index Search-tauglich;bestaetigt;User 2026-05-06: professioneller + performanter
4 Atome;44d;Adjacent-Cleanup sanitizeUrl;Adjacent;Erweitern um Provider-Allowlist + neuer validateProviderRef-Helper;offen;User 2026-05-06: reusen + erweitern
4 Atome;44e;Clean-cut Migration;Annahme;links.type gedroppt existing rows provider=url Default. Inkonsistente Eintraege loeschen;bestaetigt;User 2026-05-06: Bestandsdaten egal
4 Atome;44f;Migration-Welle-Splittung;Entscheidung;link.provider in WV.B. widget_external_channels + user_oauth_tokens in WV.D;bestaetigt;Claude-kontext-aware 2026-05-06
4 Atome;45;Migration cell.data.infoFields + cell.data.links zu Atomen;Annahme;Clean-cut WV.B. info_fields-Tabelle + atom_type=info_field + kind=info. cell.data Sub-Keys gedroppt. cells.data droppen wenn leer.;bestaetigt;User 2026-05-06: Clean-cut, weg damit wenn nicht benoetigt
4 Atome;45a;value_type-Liste V1;Annahme;10 Types: text/number/date/currency/boolean/email/phone/url/enum/alias-ref. V2: rich-text. Pro Type nativer Form-Renderer;bestaetigt;User 2026-05-06: alles uebliche + Sinn
4 Atome;45b;Cell-Links-Migration;Annahme;Trivial alle existing cell.data.links zu link-Atomen mit provider=url. Keine Heuristik;bestaetigt;User 2026-05-06: keine Daten
4 Atome;45c;MCP-Tool-Naming;Entscheidung;info_field.add/edit/move/delete/list — konsistent mit Welle-D atom-tag/atom-pin. Tool-Trio + Realtime-Garantie Pflicht;bestaetigt;Claude-kontext-aware 2026-05-06
4 Atome;45d;WorkspaceExport-Versions-Migration;Verworfen;User hat keine alten Exports;verworfen;User 2026-05-06: vergiss es
4 Atome;45e;cells.data-Spalte als Ganzes;Annahme;Wenn nach Cleanup leer: Spalte droppen. Adjacent-Cleanup-Audit beim Migrations-Sprint;bestaetigt;User 2026-05-06: weg damit
4 Atome;45f;Realtime-Garantie fuer info_field;Pflicht;info_fields in supabase_realtime + REPLICA IDENTITY FULL. Mutations via safe-mutation. Tool-Trio + Realtime-Garantie §6.1;bestaetigt;User 2026-05-06: §5.8
4 Atome;45g;Tool-Trio + Realtime-Garantie (Cross-Cutting);Manifest-Update;User-Frage 8: Realtime gehoert zur MCP-Tool-Pflicht. §6.1 erweitert um 4. Pflicht-Slot Realtime-Garantie;bestaetigt;User 2026-05-06: Wunder Punkt — gilt fuer ALLE existing+zukuenftige MCP-Tools
5 Widget-Foundation;51;Section-Container;Annahme;horizontal Default-Collapsed=false Visibility=always/edit_only;offen;Ich w�rde sagen: default offen, aber merkt sich letzte Einstellung
5 Widget-Foundation;52;Column-Sizing;Frage;rem oder fr-Units?;offen;bitte kl�re mich auf, wir entscheiden
5 Widget-Foundation;53;Widget.size;Annahme;rows x cols als Grid-Span auf 12-Spalten-Grid;offen;macht Sinn
5 Widget-Foundation;54;Comment-Toggle Default;Annahme;Default external per �14;offen;richtig
5 Widget-Foundation;55;Attachment-Toggle Default;Annahme;Default cloud per �14;offen;Was mir hierbei noch nicht ganz klar ist: Standardm��ig ist nat�rlich nichts eingerichtet. Es macht daher Sinn, wenn bei ersten aktivieren des Toggels ein Dialog  mit eiem freundlchen Hinweis erscheint, dass das oberste Ziel des Tools ist, informationen zusammenzuf�hren, aber nicht noch eine ablagequelle mehr hat, und daher externe abindung empfohlen wird, aber das tool nat�rlich eine native funktion bietet - mit dem Angebot (Button) jetzt einzurichten und auch diese Meldung nicht mehr anzuzeigen
5 Widget-Foundation;56;User-Override pro Cell-Instanz;Annahme;Option A — sparse cell_widget_overrides (instance_id x widget_id x override_data jsonb). Auto-Sync wirkt fuer nicht-uebergeschriebene Felder.;bestaetigt;User 2026-05-06: A
5 Widget-Foundation;56a;Reset-pro-Widget;Annahme;Rechtsklick auf Widget → Auf Vorlage zuruecksetzen → loescht Override-Eintrag. pushUndo + showUndoToast.;bestaetigt;User 2026-05-06
5 Widget-Foundation;56b;Indicator-Dot bei Anpassung;Annahme;Kleiner Dot oben rechts. Hover-Tooltip Angepasst-zuruecksetzen. Pulse beim ersten Override.;bestaetigt;User 2026-05-06
5 Widget-Foundation;56c;Position-Reorder atomar (Option c);Annahme;Position-Override nie einzeln, nur via Drag-Reorder. Bulk-Upsert fuer alle Widgets der Section/Column. MCP: widget.reorder (nicht widget.position.set).;bestaetigt;User 2026-05-06: c
5 Widget-Foundation;56d;Realtime-Throttle Hausverstand;Direktive;Lokal-optimistic waehrend Drag/Resize. Atomic-Commit am Drag-End. Form-Field: 500ms Debounce + 1-2s Server-Throttle.;bestaetigt;User 2026-05-06: andere User nicht laufend zuschauen
5 Widget-Foundation;57;Override-Granularitaet;Annahme;Top-Level-Field sparse. Sub-Objects (data.query, externalRef, config) atomar ueberschrieben. Read = mergeShallow(template, override).;bestaetigt;User 2026-05-06
5 Widget-Foundation;57a;mergeShallow-Helper als Single-Source;Adjacent-Cleanup;lib/template-merge.ts. Audit existing JSONB-Merge-Code auf Reuse-Kandidaten.;bestaetigt;User 2026-05-06
5 Widget-Foundation;58;Reset-to-Template-Action;Annahme;Pro Feature/Vorlage. Bei Vorlagen-basiertem Feature: Reset loescht alle cell_widget_overrides (mit Undo). Bei Blank-Feature: leeren oder Vorlage einladen.;bestaetigt;User 2026-05-05: pro Feature, Vorlage- vs. Blank-Unterscheidung.
5 Widget-Foundation;59;WidgetType-Liste vollstaendig;Annahme;11 Types � vollstaendig?;offen;lass uns reden bitte
5 Widget-Foundation;510;Mobile-Override;Annahme;Columns stacken vertikal unter --bp-md (48em);offen;User 2026-05-05: Empfehlung via /frontend-design einholen
5 Widget-Foundation;511;Datenquelle direct/query/external;Annahme;Diskriminierte Union. direct=Atom per Alias, query=Filter-Builder, external=Channel-Embed;bestaetigt;User 2026-05-05: kein Hybrid-parent_kind, Filter+Aliase als Anker-Sprache
5 Widget-Foundation;512;UI-Stile aus query.limit + atom_types;Annahme;Mono-Slot/Misch-Slot/Aggregat als Render-Hint, kein Datenmodell-Unterschied;bestaetigt;User 2026-05-05
5 Widget-Foundation;513;Filter-Builder als Modal (globaler Reuse);Annahme;FilterBuilderModal Single-Source fuer Widget/Sidebar/Command-Palette/Saved-Filters. Inline scheidet aus, Widget-Groesse variiert;bestaetigt;User 2026-05-05
5 Widget-Foundation;514;Drop bei OR/Komplex-Filter;Annahme;Modal mit Auswahl: (a) Attribute setzen + uebernehmen (b) verwerfen (c) neues Widget anlegen;bestaetigt;User 2026-05-05
5 Widget-Foundation;515;Empty-Slot-Placeholder;Annahme;Symbol/Placeholder + CTA droppen oder Regel zuweisen. Pulse-Animation auf Drop-Hover;bestaetigt;User 2026-05-05: Useability/UX wichtig
5 Widget-Foundation;516;Saved-Filters als Tabelle;Annahme;Re-use-bar Workspace/User-scope, RLS analog feature_templates. Reuse in Widget/Sidebar/Command-Palette;bestaetigt;User 2026-05-05
5 Widget-Foundation;517;Picker-Helper-Globalisierung (Alias/Tag/Object/User/Atom/Cell);Adjacent-Cleanup-Auftrag;Eigener Picker-Audit-Sprint deferred. Pflicht-Output: Matrix mit Ist/Soll/Vereinheitlichung pro Picker-Fall im Code (alle existing Stellen: use-alias-autocomplete, alias-index, alias-chip-menu, use-object-suggest, tag-index, atom-tags, pm-mention-plugin, ObjectPickerModal, ObjectSuggestion, AtomPickerModal, CellSuggestModal + Audit-Entdeckungen). Detail-Entscheidungen (Render-Linsen, PM-Mention-Scope, Object-Doppel-Pfad, Tag/User-Generizitaet) leiten aus Matrix ab — NICHT jetzt im Konzept. Filter-Builder Welle WV nutzt heutige Picker, Refactor zieht spaeter ein. Im BACKLOG verankert.;bestaetigt;User 2026-05-07: bitte entscheide du das wann ... wir muessen beim hingreifen konkret JEDEN Fall im Code in einer Matrix darstellen ... das muss nicht jetzt sein
5 Widget-Foundation;518;Atom-Filter-Attribute pro Atom-Type;TBD-Vermerk;Eigener Pre-WV.A-Audit-Sprint deferred (analog 5.17). Pflicht-Output pro Atom-Type pro Attribut: Spalten-Mapping (existing/needs migration/drop) + UI-Form (Select/Date-Range/Numeric/Boolean/Free-Text) + Index-Pflicht (BTREE/GIN/Partial) + Translation-String + Drop-Diskussion (has_subtasks, domain zu pruefen). Output: lib/atom-filter-attrs.ts als TS-Konstante (Single-Source). Liste §17.1 bleibt V1-Vorschlag. Detail-Entscheidungen (Scope kuenftige Atome, JSON vs TS, User-Custom-Attribute) leiten aus Audit ab. Im BACKLOG verankert.;bestaetigt;User 2026-05-07: Variante b und Drops zum gegeben Zeitpunkt besprechen
6 Vorlagen-Modell;61;Slot 1 Matrix als Plattform-Vorlage mit template_kind=structural-node;Annahme;Variante C bestaetigt. Matrix als Plattform-Vorlage. Slot 1 User-Override moeglich. Matrix-Erzeugung via Command-Palette + /templates/ (kein Edit-Mode-Toolbar-Button noetig).;bestaetigt;User 2026-05-06 Re-Diskussion: 1=C ok, 3=kein alternativer Pfad
6 Vorlagen-Modell;62;Slot-Override drei-Schicht-Inheritance;Annahme;Variante C — Plattform-Default → Workspace-Override (Owner-only) → User-Override. workspace_hotkey_slots + user_hotkey_slots Tabellen. Realtime fuer Workspace user-privat optional. Toast bei Default-Aenderung wenn User-Override.;bestaetigt;Claude-Auto-Mode 2026-05-06: Best-Practice VSCode/Notion/Slack-Pattern
6 Vorlagen-Modell;63;Plattform-Default-Belegung (korrigiert 2026-05-06 Re-Diskussion 6.1);Annahme;Slots 1-4 vorbelegt: Matrix(1 structural-node) Info(2) Kanban(3) Checkliste(4). Slot 5+d+n offen — Folge-Sprint.;bestaetigt;User 2026-05-06: nur 4 Slots vorbelegt, Slots 2+3 getauscht
6 Vorlagen-Modell;63d;MCP/AI-Onboarding-Vorschlag;Folge-Sprint;Onboarding-Wizard mit AI-Pipe schlaegt Plattform-Vorlagen vor + belegt Slots. Voraussetzung erweiterte Plattform-Vorlagen-Bibliothek (Admin-pflegbar). MCP-Tool template.suggest(workspaceContext). Detail-Spec eigenes Plan-File nach WV.D.;bestaetigt;User-Vorschlag 2026-05-06: V1 nur 4 Defaults hardcoded
6 Vorlagen-Modell;64;Berechtigungsmatrix Plattform/Workspace/User;Annahme;Berechtigungsmatrix bestaetigt. Hotkey-Slot nur Workspace-Owner. Viewer keine Bulk-Apply. Plattform-Loeschen mit Reichweiten-Bericht. Promote nur Admin-Push (kein User-Request V1). Adjacent: is_workspace_owner pruefen. §6.3b.;bestaetigt;User 2026-05-06 Re-Diskussion 6.4: alle 6 ok
6 Vorlagen-Modell;65;title_template Variablen-Substitution;Annahme;Maximale Konsolidierung mit Welle D. Reuse label-template.ts. Variablen-Liste = Welle-D-Liste {row.object} {column.object} nicht erweitert. Vorlagen-title_template = primary Cycle-Vorschlag im NewCellWizard. Kein neuer Picker — bestehende Welle-D-Logik reused.;bestaetigt;User 2026-05-07 Re-Diskussion 6.5: synchron mit name-cycle
6 Vorlagen-Modell;66;Symbol-Library Heroicons;Annahme;Heroicons V1. Neue IconPicker-Komponente (kein existing). V2 Custom-Upload deferred. Plattform-Defaults 1-4: squares-2x2 information-circle view-columns check-circle. Adjacent-Probe beim Implementieren.;bestaetigt;User 2026-05-07 Re-Diskussion 6.6
6 Vorlagen-Modell;67;symbol_color als Token-Reference;Verworfen;Nicht implementieren — Icon allein reicht. feature_templates ohne symbol_color-Spalte.;verworfen;User 2026-05-06: es reicht das Symbol
6 Vorlagen-Modell;68;layout_version-Pinning + Auto-Sync-Detail;Annahme;Final 2026-05-07. Schema layout_version+pinned_version+is_locked. Auto-Sync=JIT. Schloss-Toggle Edit-Mode-gated. Update-Hint-Banner immer sichtbar Anwenden Edit-Mode-gated. Bumps nur Strukturelles (Section/Column/Widget add/remove/move + Filter). Toggle/Name/Symbol/title_template bumpen nicht. V1 naive Version-Bump.;bestaetigt;User 2026-05-07 Re-Diskussion 6.8
7 Designer;71;B (Save-as-Template) als V1;Annahme;Aktuelle Ansicht im Edit-Mode -> Als Vorlage speichern. Direkt-Save oder im Designer weiter editieren;bestaetigt;User 2026-05-05
7 Designer;72;A (Designer-Route) als V1 (korrigiert);Annahme;Vorlagen-Verwaltungs-Route /w/:wsId/templates/ ist V1: Liste + Neu + Edit + Loeschen mit Feedback + Hotkey-Slot + Globaler Toggle. WYSIWYG-Editor V1-minimal, Komplettausbau V2;bestaetigt;User 2026-05-05 (korrigiert von V2 oder verworfen auf V1)
7 Designer;73;Default-Wahl im Cell-Wizard;Annahme;Default Matrix (Slot 1). Wenn schon Matrix vorhanden: leere Vorlage. Markierte Zelle(n) + Hotkey + Wizard mit Feature -> Benennung (1.=Alias, ab 2. vorausgefuellt) -> Enter;bestaetigt;User 2026-05-05
7 Designer;74;Save-as-Template-Modal;Annahme;Toggle Global on/off (Workspace-Wizard) + Name + Symbol + Hotkey-Slot. Plattform-Admin-Mode separat fuer SaaS-weit global;bestaetigt;User 2026-05-05
7 Designer;75;Vorlagen-Liste-View;Annahme;Final 2026-05-07. Tab-Filter Default Workspace (4 Tabs). Search Name+Beschreibung+Atom-Type-Mix. Spalten Symbol/Name/Beschreibung/Sichtbarkeit/Hotkey/Usage/letzte Aenderung/Erstellt-Avatar(Multi-User)/Aktions-Trigger. Sort-Default Sichtbarkeit>Name. Aktionen 3 Trigger: Drei-Punkte+Rechtsklick+Plus. Mobile-Card-Layout. Reuse Member-Liste.;bestaetigt;User 2026-05-07 zu 7.5
7 Designer;75a;User-Avatar-Visibility (Cross-Cutting);Direktive;Avatars nur bei Multi-User-Workspace. Helper useShowUserAvatars als Single-Source. Pflicht in Vorlagen-Liste/NavTree/Marker/Comment. Adjacent-Trigger bei jedem File mit Avatar. Memory feedback_avatar_visibility_multiuser_only.md.;bestaetigt;User 2026-05-07: gilt fuer ALLE Welten
7 Designer;76;Loesch-Feedback-Modal;Annahme;X Cells nutzen das + Optionen [Cells leeren / Cells konvertieren zu Blank / Abbrechen] + pushUndo + showUndoToast;bestaetigt;User 2026-05-07: passt
7 Designer;77;Hotkey-Slot-Picker;Annahme;V1: Slot-Picker nur Ziffern 1-9. Buchstaben-Slots (d, n, etc.) entfallen in V1. Konflikt-Check + Confirm bei Override. V2: Buchstaben-Slots koennen dazu kommen. Doku-Globaler-Hotkey d bleibt unveraendert ausserhalb des Slot-Schemas.;bestaetigt;User 2026-05-07: derzeit passt 1-9 spaeter kann man auch Buchstaben waehlen
7 Designer;78;Globaler-Toggle-Workflow;Annahme;Workspace-Owner: Im Feature-Wizard verfuegbar (Workspace-weit). Plattform-Admin: separate Route fuer SaaS-weit global;bestaetigt;User 2026-05-07: passt
7 Designer;79;Plattform-Vorlagen nicht loeschbar;Annahme;Ausgrau + Tooltip Plattform-Default — User kann duplizieren statt loeschen;bestaetigt;User 2026-05-07: passt
7 Designer;710;WYSIWYG-Editor V1-Minimal vs V2;Annahme;Final 2026-05-07. V1: Up/Down+DnD-Reorder, Widget-Picker als Modal, Inspector-Sidebar, Inline-Edit, Trash-Loeschen, layout_version-Bump nur Strukturelles. V2 deferred: Widget-Palette-Drag, Snap-to-Grid, Layout-Templates, Diff-Preview, History, OT/CRDT, Mobile-Editor. Adjacent: BoardView-DnD + Live-Cursor reuse.;bestaetigt;User 2026-05-07 zu 7.10
7 Designer;710a;Soft-Lock-Pattern Multi-User-Edit;Annahme;Reuse Welle-P1.D Live-Cursor-Infra. User A oeffnet Editor → Lock-Signal Workspace-Channel. User B sieht Banner beobachten/Sperre-uebernehmen. Force-Acquire moeglich (Soft). Auto-Release nach 5min oder Close. Heartbeat = existing Presence. Kein neues Schema.;bestaetigt;User 2026-05-07 zu 7.10 #3
8 Bulk-Action;81;Selektions-Modell (Multi-Select existiert heute nicht);Annahme;Final 2026-05-07. Edit-Mode-only. Per-Matrix-scoped (Strg+A nur aktuelle Ebene). Drill-Up/Down clear-t. Visuell: Outline + Checkmark-Badge top-right + expand-fade/collapse-fade. Globaler Store lib/cell-selection.ts als Single-Source mit selectedCellIds-Signal + Actions. Auto-Clear bei Drill + Edit-Mode-Exit. Mobile/Touch V2 deferred.;bestaetigt;User 2026-05-07: stimme voll zu + globaler Store bestaetigt
8 Bulk-Action;82;Selektions-Hotkeys + Bulk-Wizard-Flow;Annahme;Interim-final 2026-05-07. Hotkey-Inventar: Strg+Click toggle, Shift+Click range, Strg+A all (Matrix-scoped), ESC clear, Enter mit Selektion = Bulk-Wizard, 1-9 = Direkt-Bulk-Wizard Slot N, Alt+1-9 = Vorlage destruktiv entfernen (Confirm + Liste + Undo), Alt+Entf = Cells leeren (Confirm + Liste + Undo + Export-Checkbox + Fundus-Wahl wenn implementiert). Auto-Alias V1-Default zusammengesetzt {vorlage}-{row}-{col}, Checkbox abwaehlbar. Neue Komponente BulkScalarInput (Single-Input + Drilldown zu Per-Row-Edit) - globale Anlage gemaess code-quality.md §6.5, style.md-Eintrag bei Implementierung. Neue Komponente DangerousDeleteModal (Confirm + collapsible-Liste + Export-Checkbox + Fundus-Knopf) - globale Anlage gemaess §6.5. Atom-Loesch-Logik (c): Atom selbst nur loeschen wenn ausschliesslich in dieser Cell manifestiert, sonst nur Manifestation kappen. Sub-Matrizen rekursiv (c). Toolbar-Button-Aequivalent fuer alle Hotkeys WCAG-Pflicht - stilsichere Loesung TBD bei Impl.;bestaetigt;User 2026-05-07: 1=ok 2=a 3=BulkScalarInput-Name + style.md-Eintrag bei Umsetzung 4=destruktiv mit Liste + Fundus-Sub-Sprint 5=Export-Doppelboden neu zu bauen 6=collapsible 7=stilsicher TBD
8 Bulk-Action;83;Slot 1 (Matrix) bei Bulk-Apply via Confirm-Modal;Geaendert;Final 2026-05-07. Sperre verworfen. (a) Threshold N>1 triggert Confirm-Modal N Sub-Matrizen werden angelegt - fortfahren? (alle leer) + pushUndo. (b) Default-Inhalt leer (nur Matrix-Container keine Cells). (c) Slot 1 + N=1 = existing NewCellWizard-Pfad reusen (alleiniger Cell-Anlage-Pfad).;bestaetigt;User 2026-05-07: confirmmodal sinnvoll + alle 3 sinnvoll
8 Bulk-Action;84;Bulk-Apply-Idempotenz / Skip-Liste (Wizard-Step 1a);Annahme;Final 2026-05-07. Step 1a vor Vorlage-Naming. Skip-Liste mit Checkbox Default markiert=ueberspringen Abmarkieren=ueberschreiben mit Confirm. Sichtbarkeit nur wenn Konflikte. Szenarien: A leer=skip. B aktuell=still+Toast. C gleiche/alt=Skip-Liste Tag re-sync (Variante a) §6.3c-Hint parallel. D andere Vorlage=Skip+Tag. E Overrides=Skip+Warnung. F locked=Skip+Lock-Symbol abmarkierbar mit Force-Confirm. Pro Zeile: Vorlage+Version+Konflikt-Tag. Globale Komponente BulkConflictPicker (Reuse Bulk-Tag/Channel/Schema-Migration) gemaess code-quality.md §6.5 style.md-Eintrag bei Impl. Zweite Confirm fuer abmarkierte Cells (Datenverlust-Liste). pushUndo Pflicht.;bestaetigt;User 2026-05-07: passt zu Variante (a) Re-Sync in Skip-Liste + uebrige Empfehlungen
8 Bulk-Action;85;pushUndo + showUndoToast;Annahme;Pflicht per code-quality.md §8 + CLAUDE.md Destruktives kriegt Undo. Pflicht-Foundation ohnehin verbindlich.;bestaetigt;User 2026-05-07: ja final
8 Bulk-Action;86;Selektions-Counter im Edit-Mode;Annahme;Final 2026-05-07. Pill-Counter rechts in Edit-Mode-Toolbar. Animation count-bump (Welle-T existing) bei Selektions-Aenderung. Reuse existing Pill-Style (Badge falls existing sonst HyperUI-Pill). Keine neue Komponente.;bestaetigt;User 2026-05-07: klingt gut wenn stilvoll + ja final
8 Bulk-Action;87;Slot-Hint-Toolbar im Edit-Mode;Annahme;Final 2026-05-07. Edit-Mode aktiv = Toolbar immer sichtbar. 9 Slot-Buttons mit Symbol+Hotkey-Zahl-Subscript. Hover-Tooltip. Click=Bulk-Wizard Slot N (WCAG-Aequivalent 8.2.6). Leere Slots gedimmt+Plus-Hover Click=/templates/. Drei-Schicht-Inheritance-Indikator: Workspace=blauer Punkt unten links, User=gelber Punkt unten rechts. Position links neben 8.6 Counter. Mobile <48em=Dropdown Slots ▾. Neue Komponente SlotHintToolbar gemaess §6.5 style.md-Eintrag bei Impl. Zero-Shift-Pflicht (Querschnitt §8a).;bestaetigt;User 2026-05-07: ja das ist gut + neue Direktive Zero-Shift
9 Cross-View;91;task x kanban;Beobachtung;Audit 2026-05-07: live (BoardView akzeptiert task);bestaetigt;Audit-OK
9 Cross-View;92;task x checklist;Beobachtung;Audit 2026-05-07: live (ChecklistPanel akzeptiert task);bestaetigt;Audit-OK
9 Cross-View;93;task x calendar;Beobachtung;Audit 2026-05-07: live (Welle T.AC.D + SidebarCalendarMini);bestaetigt;Audit-OK
9 Cross-View;94;link x kanban;Korrektur;Audit 2026-05-07: KORREKTUR Drop-Target fehlt (BoardView:457 lehnt link ab). Soll: live nach WV.WV (Generic-Drop);bestaetigt;Konzept 2026-05-04 sagte live - Audit zeigt fehlt
9 Cross-View;95;link x checklist;Korrektur;Audit 2026-05-07: KORREKTUR Drop-Target fehlt (ChecklistPanel:148 lehnt link ab). Soll: live nach WV.WV;bestaetigt;Konzept 2026-05-04 sagte live - Audit zeigt fehlt
9 Cross-View;9A;atom_pins-Konsolidierung Architektur-Entscheidung;Architektur-Entscheidung;atom_pins -> atom_manifestations(kind=pinned) mit polymorphem container_id + container_kind ENUM {kanban-col,checklist,calendar,cell,atom,node}. Clean-Cut-Migration. atom_tags BLEIBT (semantisch verschieden). Generic-Drop-Helper. Sprint WV.WV.;bestaetigt;User 2026-05-07: Option A bestaetigt + kombinierter Sprint + atom_tags-Bewertung passt
9 Cross-View;96;link x calendar (inkl Mail via link.provider);Beobachtung;Audit 2026-05-07: live seit Welle T.AC.D.1 (SidebarCalendarMini -> openManifestationModal mit Range/Recur/Time + dropAtomOnDate fuer Move). RecurType none/daily/weekly/monthly/yearly + End-Rule. Range XOR Recur (V1-Constraint).;bestaetigt;User: hatte es noch nicht getestet - aber umso besser wenn vorhanden
9 Cross-View;96a;Click-Action auf Link-Calendar-Termin;Annahme;Final 2026-05-07. Variante (b) Detail-Modal mit Link-Preview + Oeffnen-Button. Edit-Modal-Pfad ueber ✏️-Button im Detail-Modal.;bestaetigt;User: b
9 Cross-View;96b;Range+Recur-Kombi V1-Constraint;Frage;Range XOR Recur belassen V1. Lockerung post-V1.;bestaetigt belassen;User: noch belassen
9 Cross-View;96c;Hauptkalender-Route Drop-Target + Drag-Hover-Navigation;Annahme;Final 2026-05-07. Hauptkalender-Route bekommt Drop-Targets. Plus Drag-Hover-Navigation als Querschnitt §9.B (auch fuer 9.9/9.10/9.13).;bestaetigt;User: muss ich mit dem gedraggten element aber auch zum Kalender navigieren koennen
9 Cross-View;9B;Drag-Hover-Navigation (Querschnitt-Pattern);Architektur-Direktive;Final 2026-05-07. Komponente DragHoverNavigator neu. NavTree expandiert auf Drag-Hover als Overlay mit Backdrop-Blur 0.25rem + Puls-Animation. Drag-State persistent. Sub-Pattern Modal->NavTree-Suche aus Doc-Editor. Zero-Shift-Pflicht (§8a). Manifest: style.md §6.5 + Memory feedback_drag_hover_navigation.md + MEMORY.md. Sprint WV.WV als 4. Output.;bestaetigt;User: alles ja
9 Cross-View;96;link x calendar;Frage;Wiedervorlage?;offen;nein, das ist wichtig. Mentalmodell: Ich habe einen Link/Mail, als w�chentliche aktion - im kalender droppen - Termininformationen dazu (recur usw.) - boom - praktisch
